,ID,URL,Date,User,Tweet
856,856,https://twitter.com/stopalreadygeez/status/1626121354062725122,2023-02-16 07:28:37+00:00,stopalreadygeez,@taylorswift13 @iamroosevelt__ @POTUS REALLY?
857,857,https://twitter.com/stopalreadygeez/status/1626121223645147136,2023-02-16 07:28:06+00:00,stopalreadygeez,@taylorswift13 @iamroosevelt__ You need to get on your knees and beg for forgiveness.
858,858,https://twitter.com/stopalreadygeez/status/1626121046284697602,2023-02-16 07:27:23+00:00,stopalreadygeez,@taylorswift13 @KungsMusic Blasphemy
859,859,https://twitter.com/stopalreadygeez/status/1626120953099964416,2023-02-16 07:27:01+00:00,stopalreadygeez,@taylorswift13 WHO DO YOU THINK YOU ARE?
860,860,https://twitter.com/FEARLESS_ts89/status/1626119608032698369,2023-02-16 07:21:41+00:00,FEARLESS_ts89,"@taylorswift13 I want honesty Taylor and I want to hear it from you yourself publicly or personally don't matter

But do it now please"
861,861,https://twitter.com/glittertrashybb/status/1626109541338464256,2023-02-16 06:41:40+00:00,glittertrashybb,@taylorswift13 NO MAN HAS SCARLET LIPS BAE!!!!!!!!! #Maroon
862,862,https://twitter.com/daylightopia/status/1626101735293960192,2023-02-16 06:10:39+00:00,daylightopia,@taylorswift13 where’s hits different on streaming
863,863,https://twitter.com/BMC_Off/status/1626094572513427456,2023-02-16 05:42:12+00:00,BMC_Off,@taylorswift13 is beyond something else https://t.co/2ekSykahIG
864,864,https://twitter.com/EgalAdmiral/status/1626092580495585280,2023-02-16 05:34:17+00:00,EgalAdmiral,"@taylorswift13 don't do anything against me orngod! I CANNOT Stand  bah zphanor,??wr"
865,865,https://twitter.com/emilywalsh104/status/1626091599540240385,2023-02-16 05:30:23+00:00,emilywalsh104,"@taylorswift13 Epiphany, but from the perspective of a mom trapped at home during pandemic lockdown experiencing severe postpartum anxiety and depression. It's me, hi... 😭💜 I am so in awe of folklore still."
866,866,https://twitter.com/EgalAdmiral/status/1626090606429630464,2023-02-16 05:26:26+00:00,EgalAdmiral,@taylorswift13 would you escourt mento the house of god
867,867,https://twitter.com/FEARLESS_ts89/status/1626090375193526273,2023-02-16 05:25:31+00:00,FEARLESS_ts89,@taylorswift13  your my heart and home...  I love you https://t.co/QnqeQc2Ly5
868,868,https://twitter.com/FEARLESS_ts89/status/1626088133430329344,2023-02-16 05:16:36+00:00,FEARLESS_ts89,@taylorswift13 I love you with all my heart and soul .. forevermore and always https://t.co/fcMDz37PKV
869,869,https://twitter.com/EgalAdmiral/status/1626087366749200384,2023-02-16 05:13:34+00:00,EgalAdmiral,@taylorswift13 Taylor as crazy and it isn't live it daily! I'm in the most hostile city's! Your all the smiles I have
870,870,https://twitter.com/EgalAdmiral/status/1626086138946416640,2023-02-16 05:08:41+00:00,EgalAdmiral,@taylorswift13 don't call yourself a propestess though
871,871,https://twitter.com/FEARLESS_ts89/status/1626086075511844864,2023-02-16 05:08:26+00:00,FEARLESS_ts89,@taylorswift13 I love you
872,872,https://twitter.com/EgalAdmiral/status/1626085999712391168,2023-02-16 05:08:08+00:00,EgalAdmiral,@taylorswift13 prophesy queen! You know you can
873,873,https://twitter.com/EgalAdmiral/status/1626083652948922368,2023-02-16 04:58:48+00:00,EgalAdmiral,@taylorswift13 sorry il make an IG tomorrow!
874,874,https://twitter.com/EgalAdmiral/status/1626083295522955264,2023-02-16 04:57:23+00:00,EgalAdmiral,@taylorswift13  Lips pressed
875,875,https://twitter.com/Roger06383058/status/1626082158161936384,2023-02-16 04:52:52+00:00,Roger06383058,@taylorswift13 I love you which is different.
876,876,https://twitter.com/AGenericwriter/status/1626081164904796160,2023-02-16 04:48:55+00:00,AGenericwriter,@taylorswift13 @RecordingAcad I can’t put into words how beautiful your face is.
877,877,https://twitter.com/hobiefrombooks/status/1626079069191421952,2023-02-16 04:40:35+00:00,hobiefrombooks,@taylorswift13 hello u own me
878,878,https://twitter.com/DavidParsonsJr/status/1626076433524088832,2023-02-16 04:30:07+00:00,DavidParsonsJr,@taylorswift13 You are so naturally pretty even singing around the house.
879,879,https://twitter.com/SueMcMcCulloug1/status/1626073794598125568,2023-02-16 04:19:38+00:00,SueMcMcCulloug1,"@taylorswift13 I recently started listening to your music, fell in love and saw your coming to ATL. Looked up tickets and OMG. I am shocked at what your charging. Youngsters could never afford $5- 600. I am 68 and wont pay that.☹️Was a nice thought for a minute"
880,880,https://twitter.com/JimmyMoonwalker/status/1626073079129559041,2023-02-16 04:16:47+00:00,JimmyMoonwalker,"@taylorswift13 Love Bites...

@NightswithAlice thanks for being my #FALLONTINE FOR #FALLONTINESDAY !!!

@jimmyfallon thanks for hosting #FALLONTINESDAY !!!

#romeo #and #juliet #thankyoujesus https://t.co/aMt6AzJf3K"
881,881,https://twitter.com/midniterdr2010/status/1626070831133491202,2023-02-16 04:07:51+00:00,midniterdr2010,@taylorswift13 How well do you think It will go over when you're standing before God and he asks you about your stance on abortion being Godly through Christ?
882,882,https://twitter.com/eyeuhhhh/status/1626069722809929728,2023-02-16 04:03:27+00:00,eyeuhhhh,@taylorswift13 someone looked at me funny at the gym what are you doing to do about it
883,883,https://twitter.com/EgalAdmiral/status/1626067201391316994,2023-02-16 03:53:26+00:00,EgalAdmiral,@taylorswift13 baby if you put us on hold il be that angry annoyed voice up in you head
884,884,https://twitter.com/EgalAdmiral/status/1626065323676823552,2023-02-16 03:45:58+00:00,EgalAdmiral,@taylorswift13 full speed ahead as the commands! J for.onnthe streetcar for one stop and I dropped my cake box when I nodded so I woke up quickly thinking Tea! I couldn't find the Tea! Thought I was leaking! Love yew
885,885,https://twitter.com/Neigh84/status/1626064282348826626,2023-02-16 03:41:50+00:00,Neigh84,@taylorswift13 no pressure but if you can announce Australian tour dates so I  can choose my wedding date I would really appreciate it 😻 @taylornation13
886,886,https://twitter.com/swiftieboston/status/1626061895751835648,2023-02-16 03:32:21+00:00,swiftieboston,@taylorswift13 @benstafford100 Nice
887,887,https://twitter.com/honeyypea/status/1626058043757858819,2023-02-16 03:17:02+00:00,honeyypea,@taylorswift13 girl please I need hits different on spotify 😭
888,888,https://twitter.com/EgalAdmiral/status/1626055038303932420,2023-02-16 03:05:06+00:00,EgalAdmiral,@taylorswift13 hey Siri I charge my phone but it's only at 19% because every time I would not off I would wake up in the charger would be unplugged or my phone will be unplugged and it basically put me in a situation of not having as much battery power eyes I would like!
889,889,https://twitter.com/EgalAdmiral/status/1626051160766283776,2023-02-16 02:49:41+00:00,EgalAdmiral,"@taylorswift13 I'm in love 
She's sent from above 
As peaceful as a dove 
Its love"
890,890,https://twitter.com/StretchSteven/status/1626035144879403012,2023-02-16 01:46:03+00:00,StretchSteven,"@taylorswift13 You are the worst supposed musician, lyricist. How the hell can you sleep at night. The crap that you put out there, on a 12 year old 85 IQ level, you suck and should really think about knitting or oh, saving animals on your own, which I would love. I love animals"
891,891,https://twitter.com/namyhs/status/1626032554657587202,2023-02-16 01:35:45+00:00,namyhs,@taylorswift13 a fake page ya out to tell fake book about ... https://t.co/MO7SRaen69
892,892,https://twitter.com/JosephSwiftie13/status/1626027847847407618,2023-02-16 01:17:03+00:00,JosephSwiftie13,"@taylorswift13 @taylornation13 😡😡😡 hold @GFNF__ accountable! 
Cancel their order and re release those vinyls so true swifties can get their hands on some!"
893,893,https://twitter.com/JosephSwiftie13/status/1626026846050459649,2023-02-16 01:13:04+00:00,JosephSwiftie13,"@taylorswift13 @taylornation13 is there a way to hold @GFNF__ accountable for this? 
They have 15k copies of the #Lover vinyl and I a true #Swiftie along with hundreds of other swifties have not one. 😡 https://t.co/M9NURs03NI"
894,894,https://twitter.com/Brianne00990233/status/1626024206432444417,2023-02-16 01:02:35+00:00,Brianne00990233,@taylorswift13 Why aren't you coming to Canada?! ❤️
895,895,https://twitter.com/osama_1999a/status/1626019373516304385,2023-02-16 00:43:23+00:00,osama_1999a,@taylorswift13 @RecordingAcad You are the music industry my love ❤️‍🔥❤️‍🔥
896,896,https://twitter.com/FEARLESS_ts89/status/1626015023997808640,2023-02-16 00:26:06+00:00,FEARLESS_ts89,"@taylorswift13 this is how the fandom feels apparently

* I am not taking shit** I am telling @taylorswift13 the truth . As always

Unlike Joe Alwyn ''william browery, scooter and the rest of you involved

@selenagomez @taylorswift13 https://t.co/tJzKZhNRUf"
897,897,https://twitter.com/leunamme171089/status/1626010791215521792,2023-02-16 00:09:17+00:00,leunamme171089,"@taylorswift13 Anti hero has nice tunes, but who can forget teardrops on my guitar and love story"
898,898,https://twitter.com/Vanrelo/status/1626010419939667970,2023-02-16 00:07:48+00:00,Vanrelo,@taylorswift13 I need speak now music video when you drop speak now (Taylor’s version) I begging you 🥹🙏🏼
899,899,https://twitter.com/SpiritofYHWH/status/1626009773937246215,2023-02-16 00:05:14+00:00,SpiritofYHWH,@taylorswift13 @RecordingAcad Give me something but you still say nothing.
900,900,https://twitter.com/Museonpastmidn1/status/1626003580292370432,2023-02-15 23:40:37+00:00,Museonpastmidn1,"@taylorswift13 Actually, it's about the biological attacks in the UK 2008, from the air, which decimated lavender plants in some places! It also refers to the use of hazing by military personnel to get promotions. BUT whatever you do, DON'T tell anyone we told you! x"
